8766e8c796bf9f95db9966adcbe58242	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Cellvibrionales	D_4__Spongiibacteraceae		
2db0fc8616aaf032cbedbdcae2e313a8	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhodobacterales	D_4__Rhodobacteraceae		
37693fc4da7177d96a9cd741d266f179	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhizobiales	D_4__Stappiaceae	D_5__Labrenzia	
53e27656d9771af6fe821abd5f47e7c9	D_0__Bacteria	D_1__Actinobacteria	D_2__Actinobacteria	D_3__Micrococcales	D_4__Microbacteriaceae	D_5__Microbacterium	
5fd31ff146ae0889f19a3bf52a33429c	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Betaproteobacteriales	D_4__Burkholderiaceae	D_5__Pelomonas	
fa53d77f8ec92fdb1b3d0aa833311cd5	D_0__Bacteria	D_1__Acidobacteria	D_2__Subgroup 22	D_3__Acidobacteria bacterium Mor1	D_4__Acidobacteria bacterium Mor1	D_5__Acidobacteria bacterium Mor1	D_6__Acidobacteria bacterium Mor1
d2c5f3db0c5144fa28edff7db03c8f45	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhodobacterales	D_4__Rhodobacteraceae	D_5__Leisingera	
3a923ceadde4506328d0e352a3027a75	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Caulobacterales	D_4__Hyphomonadaceae	D_5__uncultured	D_6__Cladosiphon okamuranus
9bb32d6c2702e4b387e9c41619583e66	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Sneathiellales	D_4__Sneathiellaceae	D_5__Sneathiella	
11bb58be038678b5e2b1878c01140c05	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Sphingomonadales	D_4__Sphingomonadaceae	D_5__Erythrobacter	
9b78efff9b64432876d24450e9b00163	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Oceanospirillales	D_4__Pseudohongiellaceae	D_5__Pseudohongiella	
61736cc294067b0afda05cbba078155d	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Alteromonadales	D_4__Alteromonadaceae		
8fb7c34e9774e0623654d0d5b37d51f7	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhodobacterales	D_4__Rhodobacteraceae		
4f1e89fe8963c0dd1c89bcc87c0b8fba	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhodospirillales	D_4__Terasakiellaceae		
c4246dfb397f65efeeb832836e302083	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhodospirillales	D_4__Terasakiellaceae		
05ee672c13ca2e0e6c44a8c8ec463c05	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhodospirillales	D_4__Terasakiellaceae		
da6cc46660ce08372dadadde2ebf11ca	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhodobacterales	D_4__Rhodobacteraceae	D_5__Ruegeria	
2d8937c0945321b687cf6b33c162d0a5	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhodobacterales	D_4__Rhodobacteraceae		
294bfe80ae3edb2e553cf574472ed09e	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhodobacterales	D_4__Rhodobacteraceae		
0e43256777faa593680ecb53e574ae14	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Chitinophagales	D_4__Saprospiraceae	D_5__Lewinella	D_6__Cladosiphon okamuranus
7d002daa5238f63e93fbeff1487c3868	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhizobiales	D_4__Methyloligellaceae		
49a8240ed1446fafb14242e44c9832c8	D_0__Bacteria	D_1__Acidobacteria	D_2__Holophagae	D_3__Acanthopleuribacterales	D_4__Acanthopleuribacteraceae	D_5__Acanthopleuribacter	
853d62f828d0f67cdd22a2f0c9e145a5	D_0__Bacteria	D_1__Proteobacteria	D_2__Deltaproteobacteria	D_3__Oligoflexales	D_4__Oligoflexaceae		
e7a7ce8374c1b77ef9f546206ce8bae5	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhodobacterales	D_4__Rhodobacteraceae	D_5__Actibacterium	
ef5b9742902472953b24bf7ff1ef843e	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Ectothiorhodospirales	D_4__Thioalkalispiraceae	D_5__Thioprofundum	
052ab0021d4b9fc7caa2419fa0f1413d	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Oceanospirillales	D_4__Litoricolaceae	D_5__Litoricola	
9c7d9a2060bbf25f6a80d54bb8b39618	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Cytophagales	D_4__Cyclobacteriaceae	D_5__Fabibacter	D_6__Flammeovirgaceae
6ba5b33e7e94a239109be035d022c82c	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Flavobacteriales	D_4__Flavobacteriaceae		
1d76e477fa5e26b2607547244aeb514d	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria				
