	a1_1_01	a1_1_02	a1_1_03	a1_1_04	a1_1_05	a1_2_01	a1_2_02	a1_2_03	a1_2_04	a1_2_05	a4_1_01	a4_1_02	a4_1_03	a4_1_04	a4_1_05	a4_2_01	a4_2_02	a4_2_03	a4_2_04	a4_2_05	con1	con2	con3
19bc0ddaba91e8b508a4ef34a019088b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	0
29e58ca9bdd079d531e2aed3eb1e413a	0	0	0	0	0	0	0	0	0	0	52	89	14	813	385	0	980	0	2	262	0	0	40
1857d8042bd2a104435e82b2b0595e5a	36	35	12	13	9	0	0	0	0	0	87	77	236	107	0	0	0	0	0	0	0	0	0
05ee672c13ca2e0e6c44a8c8ec463c05	0	0	205	50	0	109	0	0	0	0	248	72	163	36	61	0	45	257	0	65	0	0	0
f8e4a3e6416f4482485f1a7ee43ca3c9	0	0	0	0	0	0	0	0	0	0	6	139	25	20	22	0	0	0	0	0	0	0	0
f1432139b16855a731b20550e4993a8b	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
87f991a2894d152c8a12ed6d0458c35c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0
ad6dbafb92c27f6212d897ac569176e2	24	79	16	55	12	37	18	8	0	19	12	0	0	0	0	34	0	28	125	6	0	0	0
c45db55927c575695ebf7692495d0ec4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	69
83d645fe436baa58a2e3a968d29af99e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0
d850926526c32487f1b1279207362ea8	45	39	16	5	0	0	15	0	0	4	15	0	0	0	0	18	0	0	0	0	0	0	0
6bda66a0ea4dd63f7bdbc0921d858f9f	0	0	8	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
8e576c983ab304f2fed78c8f94cd96c5	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0
a80343244fe396498da1907ddab3a397	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
640119334ba53cbb6fb3faadc2f3b5b5	0	0	0	0	0	0	0	0	0	0	18	0	22	0	0	0	0	0	0	0	0	0	0
483552402d6d3fce52fa87722fdcb0ad	0	0	0	0	0	0	0	0	0	0	0	15	16	0	0	0	0	0	0	0	0	0	0
d94316b6d98d227a9fe3710b6a183dc5	63	22	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2de4279a4e56ae8bc6f1741ca94f329e	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0
0b6ff2fa21866c3fb2d481ce0cad6762	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0
829bf850d8d9a5f0b5a2c82b598f7c7f	138	143	0	13	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b052035a73ed1904ae929ea03c45d843	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
671c3e66ba255fc3135a49a6e6950542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55
c59a521d10f8ee9a54ebca7351666998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19
f6e728b007115ddcc70dc631723254e6	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0
cde9575900c4c171414a228b4f386c2f	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
023bc360f0f48b25606190b1ebca5fa3	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
893987589309e68208d95acbc34af4fb	0	0	245	0	0	0	0	0	0	0	0	0	144	0	0	0	0	0	0	0	0	0	0
b6504e25c0eb884db28e7e5493d50017	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1204a9aaa47516dbbe9fac6bfffd337f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0
6ac762d66c0046746a57c9ec0eb02e29	0	4	17	19	13	0	0	14	0	33	8	0	15	31	21	0	21	0	0	4	59	0	0
409c4297b9e1d103aeb703e7f4cffa41	0	0	27	38	0	36	0	69	0	232	0	0	0	27	59	522	56	464	163	52	0	0	0
435f99cfb4248f976445bf7a28ba0cb8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0
cc7301e00f11b339efcfae5ba7aa2142	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0
42fa4267853fe6a79fedf7a55b3900b6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
2f1eae83620e85e9ba001febdc0352e6	0	0	0	0	0	0	0	0	0	0	31	29	0	0	0	0	0	0	0	0	0	0	0
51c375d206cafd280eb50de0fca53a40	0	0	0	0	0	0	0	0	0	0	35	24	0	0	0	0	0	0	0	0	0	0	0
d6e9c6211d0c93167e8e5c4d32582dd8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52
4c5f3ad9170f98841b1a61e3788062d2	0	0	0	0	0	0	0	0	0	0	14	31	0	2	0	0	0	0	0	0	0	0	0
0e43256777faa593680ecb53e574ae14	28	14	0	369	525	15	0	8	4	37	49	41	0	0	19	0	0	21	0	0	0	0	0
3f0349a687bdc04f0e1526efc8add17e	0	0	0	0	0	0	0	0	0	0	0	32	0	19	12	0	11	0	14	0	0	0	0
9f327a154a4f3b24c10aee798672f09c	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a49d0485227f9170fda7e1409cb2c3cd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0
2e371beb95bfbb6eb92ccd5987360ca4	22	16	382	32	0	637	30	171	93	29	19	16	31	21	14	68	88	1181	46	145	0	0	0
39d0ab69b4a22535fac15b117f8491f1	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	9	0	0	0	0	0	0
3cf1c3677b74a3ab095f77b115f0ec14	0	0	0	44	34	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0
9b78efff9b64432876d24450e9b00163	79	102	61	72	61	0	0	0	0	0	115	25	70	340	33	0	0	0	0	0	462	0	0
de17aca579f8e4c957f2192d4334c89b	0	0	0	0	0	0	0	0	0	0	64	37	0	0	0	0	0	0	0	0	0	0	0
4401929455d4107c9efa4ccb009f14b7	12	20	0	0	0	8	0	45	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0
107e04ddc4519998efd0c7f0d4a3c619	170	108	301	60	24	14	115	37	45	282	111	198	151	213	504	60	110	14	102	12	164	0	102
6e49f8241a722f3397e1bea4c0d54471	0	0	0	0	0	0	0	0	0	0	0	0	54	40	0	0	0	0	0	0	0	0	0
93a685441af47771e5e820e14b6eb2d2	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
373d63f1aef91b8dd127d0a57d6d231d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21
a3160b01d9b88c4be339a6794e3aa0f8	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55c10e0788957468e49d32ff9d0adf71	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
be53b0cf945b09ede54e86a2dda400aa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0
a6f391fef91342aa8ff6420b957b6db6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0
3d9beeac23f4876e7c6ed2de48daaac3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0
78d5aae6b66e7d786f091294174e2839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
51b24164872c25f85240152bdf147d67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0
feddd98213058dfbce70b9ba020fb1ee	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
aa278e6d5d299d715ae9dd964d561e1d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0
b40386be8fea8d70d634d58d86328650	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
ad65576fa76dc82f6c6b924df2e62083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0
b8e2a8e96abd7573209e80b5ec910c42	9	15	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0
c5de0923adbb2fb63b93878ec2acf80c	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
d4ff80d7eb5426795c8c2e894f7796f8	19	0	0	0	0	0	207	0	0	0	16	93	80	15	14	0	0	0	9	11	32	0	107
956cb9f534cbdeccfcff87539736258b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0
fc88bb9a4a9426a7ca863ca1e6239234	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4cf05c2c773187a18f17016856d1d3c6	0	0	0	0	0	0	18	0	0	0	0	13	0	69	0	17	33	0	0	70	0	0	0
ae8a6381f4e78d50e3fad0e2faad8ea0	0	19	0	20	0	0	127	0	0	0	30	32	26	20	0	0	20	0	27	14	0	0	27
